city,state_id,state_name,county_name,lat,lng,timezone
Willow Grove,PA,Pennsylvania,Montgomery,40.1469,-75.1174,America/New_York
Urbana,MD,Maryland,Frederick,39.3274,-77.3423,America/New_York
Bellair-Meadowbrook Terrace,FL,Florida,Clay,30.1796,-81.7375,America/New_York
Glenpool,OK,Oklahoma,Tulsa,35.9488,-96.0052,America/Chicago
Marshall,MN,Minnesota,Lyon,44.4488,-95.7897,America/Chicago
Elfers,FL,Florida,Pasco,28.2140,-82.7230,America/New_York
White House,TN,Tennessee,Robertson,36.4648,-86.6666,America/Chicago
Luling,LA,Louisiana,St. Charles,29.9008,-90.3523,America/Chicago
South Sioux City,NE,Nebraska,Dakota,42.4627,-96.4125,America/Chicago
Westmont,NJ,New Jersey,Camden,39.9082,-75.0551,America/New_York
Kettering,MD,Maryland,Prince George's,38.8888,-76.7889,America/New_York
Elk Plain,WA,Washington,Pierce,47.0425,-122.3663,America/Los_Angeles
Gonzalez,FL,Florida,Escambia,30.5822,-87.2906,America/Chicago
Lyndhurst,OH,Ohio,Cuyahoga,41.5172,-81.4922,America/New_York
Channahon,IL,Illinois,Will,41.4210,-88.2599,America/Chicago
Sauk Rapids,MN,Minnesota,Benton,45.5981,-94.1538,America/Chicago
Beachwood,OH,Ohio,Cuyahoga,41.4759,-81.5030,America/New_York
Coldwater,MI,Michigan,Branch,41.9465,-84.9989,America/Detroit
Valencia West,AZ,Arizona,Pima,32.1355,-111.1123,America/Phoenix
North Auburn,CA,California,Placer,38.9306,-121.0820,America/Los_Angeles
New Franklin,OH,Ohio,Summit,40.9525,-81.5838,America/New_York
Bridgetown,OH,Ohio,Hamilton,39.1552,-84.6359,America/New_York
Bedford,IN,Indiana,Lawrence,38.8602,-86.4895,America/Indiana/Indianapolis
Newington,VA,Virginia,Fairfax,38.7358,-77.1993,America/New_York
Hawaiian Gardens,CA,California,Los Angeles,33.8304,-118.0728,America/Los_Angeles
Waycross,GA,Georgia,Ware,31.2108,-82.3579,America/New_York
Halawa,HI,Hawaii,Honolulu,21.3753,-157.9185,Pacific/Honolulu
Lumberton,TX,Texas,Hardin,30.2562,-94.2070,America/Chicago
Olean,NY,New York,Cattaraugus,42.0819,-78.4321,America/New_York
Worthington,MN,Minnesota,Nobles,43.6281,-95.5990,America/Chicago
Broussard,LA,Louisiana,Lafayette,30.1396,-91.9540,America/Chicago
On Top of the World Designated Place,FL,Florida,Marion,29.1058,-82.2866,America/New_York
Orange City,FL,Florida,Volusia,28.9348,-81.2881,America/New_York
McMinnville,TN,Tennessee,Warren,35.6864,-85.7812,America/Chicago
Maumee,OH,Ohio,Lucas,41.5696,-83.6636,America/New_York
Auburn,CA,California,Placer,38.8950,-121.0777,America/Los_Angeles
Snoqualmie,WA,Washington,King,47.5293,-121.8412,America/Los_Angeles
Flower Hill,MD,Maryland,Montgomery,39.1676,-77.1824,America/New_York
Azle,TX,Texas,Tarrant,32.8955,-97.5379,America/Chicago
Ephrata,PA,Pennsylvania,Lancaster,40.1811,-76.1812,America/New_York
Cayce,SC,South Carolina,Lexington,33.9459,-81.0429,America/New_York
Isla Vista,CA,California,Santa Barbara,34.4128,-119.8614,America/Los_Angeles
Plover,WI,Wisconsin,Portage,44.4615,-89.5382,America/Chicago
Cornelius,OR,Oregon,Washington,45.5188,-123.0510,America/Los_Angeles
Marshall,MO,Missouri,Saline,39.1147,-93.2010,America/Chicago
Cheval,FL,Florida,Hillsborough,28.1459,-82.5184,America/New_York
Mercerville,NJ,New Jersey,Mercer,40.2360,-74.6917,America/New_York
Royal Kunia,HI,Hawaii,Honolulu,21.4053,-158.0318,Pacific/Honolulu
East Islip,NY,New York,Suffolk,40.7257,-73.1869,America/New_York
Shorewood,WI,Wisconsin,Milwaukee,43.0913,-87.8864,America/Chicago
St. James,NY,New York,Suffolk,40.8761,-73.1521,America/New_York
Bardstown,KY,Kentucky,Nelson,37.8175,-85.4550,America/New_York
East Cleveland,OH,Ohio,Cuyahoga,41.5317,-81.5794,America/New_York
Beaufort,SC,South Carolina,Beaufort,32.4597,-80.7235,America/New_York
Brecksville,OH,Ohio,Cuyahoga,41.3079,-81.6192,America/New_York
Oak Park,CA,California,Ventura,34.1850,-118.7669,America/Los_Angeles
Lewisville,NC,North Carolina,Forsyth,36.1030,-80.4166,America/New_York
Sunset,FL,Florida,Miami-Dade,25.7060,-80.3530,America/New_York
Marion,AR,Arkansas,Crittenden,35.2035,-90.2059,America/Chicago
Carnot-Moon,PA,Pennsylvania,Allegheny,40.5187,-80.2178,America/New_York
Grantsville,UT,Utah,Tooele,40.6148,-112.4777,America/Denver
Moberly,MO,Missouri,Randolph,39.4179,-92.4364,America/Chicago
