city,state_id,state_name,county_name,lat,lng,timezone
Callaway,FL,Florida,Bay,30.1349,-85.5568,America/Chicago
Marietta,OH,Ohio,Washington,39.4241,-81.4465,America/New_York
Kings Park West,VA,Virginia,Fairfax,38.8151,-77.2960,America/New_York
Loveland,OH,Ohio,Hamilton,39.2677,-84.2733,America/New_York
Hawaiian Paradise Park,HI,Hawaii,Hawaii,19.5828,-154.9695,Pacific/Honolulu
Sterling,CO,Colorado,Logan,40.6205,-103.1925,America/Denver
Clayton,OH,Ohio,Montgomery,39.8689,-84.3292,America/New_York
Tega Cay,SC,South Carolina,York,35.0390,-81.0111,America/New_York
Huntington,VA,Virginia,Fairfax,38.7916,-77.0740,America/New_York
Connersville,IN,Indiana,Fayette,39.6582,-85.1410,America/Indiana/Indianapolis
Fernandina Beach,FL,Florida,Nassau,30.6571,-81.4511,America/New_York
Star,ID,Idaho,Ada,43.7026,-116.4914,America/Boise
La Grange Park,IL,Illinois,Cook,41.8308,-87.8723,America/Chicago
Accokeek,MD,Maryland,Prince George's,38.6745,-77.0023,America/New_York
Waconia,MN,Minnesota,Carver,44.8422,-93.7896,America/Chicago
California,MD,Maryland,St. Mary's,38.2969,-76.4949,America/New_York
